From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P25332	P25332	reviewed	RBSK_YEAST	Ribokinase (RK) (EC 2.7.1.15)	RBK1 YCR036W YCR36W YCR523	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333
P25333	P25333	reviewed	HAL4_YEAST	Serine/threonine-protein kinase HAL4/SAT4 (EC 2.7.11.1) (Halotolerance protein 4)	SAT4 HAL4 YCR008W YCR046 YCR101 YCR8W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	603
P25336	P25336	reviewed	MSH3_YEAST	DNA mismatch repair protein MSH3 (Mismatch-binding protein) (MBP) (MutS protein homolog 3)	MSH3 YCR092C YCR1152 YCR92C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1018
P25337	P25337	reviewed	BUD31_YEAST	Pre-mRNA-splicing factor BUD31 (Bud site selection protein 31) (Complexed with CEF1 protein 14)	BUD31 CWC14 YCR063W YCR63W YCR903	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	157
P25338	P25338	reviewed	MPO1_YEAST	2-hydroxy-palmitic acid dioxygenase MPO1 (EC 1.14.18.12) (Metabolism of phytosphingosine to odd-numbered fatty acids protein 1) (Metabolism of PHS to odd-numbered FA protein 1)	MPO1 YGL010W YGL021	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	174
P25339	P25339	reviewed	PUF4_YEAST	Pumilio homology domain family member 4	PUF4 YGL014W YGL023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	888
P25340	P25340	reviewed	ERG4_YEAST	Delta(24(24(1)))-sterol reductase ERG4 (EC 1.3.1.71) (C-24(28) sterol reductase ERG4) (Ergosterol biosynthetic protein 4) (Sterol Delta(24(28))-reductase ERG4)	ERG4 YGL012W YGL022	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	473
P25341	P25341	reviewed	KIN82_YEAST	Serine/threonine-protein kinase KIN82 (EC 2.7.11.1) (Flippase kinase 2)	KIN82 FPK2 YCR091W YCR1153 YCR91W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	720
P25342	P25342	reviewed	CDC10_YEAST	Cell division control protein 10	CDC10 YCR002C YCR022 YCR2C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	322
P25343	P25343	reviewed	RV161_YEAST	Reduced viability upon starvation protein 161	RVS161 END6 SPE161 YCR009C YCR9C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	265
P25344	P25344	reviewed	STE50_YEAST	Protein STE50	STE50 YCL032W YCL32W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	346
P25345	P25345	reviewed	SYNM_YEAST	Asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	SLM5 YCR024C YCR242 YCR24C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492
P25348	P25348	reviewed	RM32_YEAST	Large ribosomal subunit protein bL32m (54S ribosomal protein L32, mitochondrial) (YmL32)	MRPL32 YCR003W YCR041 YCR3W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	183
P25349	P25349	reviewed	YCP4_YEAST	Flavoprotein-like protein YCP4	YCP4 YCR004C YCR042 YCR4C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	247
P25351	P25351	reviewed	YCR3_YEAST	Major facilitator superfamily domain-containing protein YCR023C (Chloride channel protein YCR023C)	YCR023C YCR23C YCR241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	611
P25353	P25353	reviewed	NPP1_YEAST	Ectonucleotide pyrophosphatase/phosphodiesterase 1 (E-NPP 1) [Includes: Alkaline phosphodiesterase 1 (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	NPP1 YCR026C YCR246 YCR26C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	742
P25355	P25355	reviewed	ATX10_YEAST	Ataxin-10 homolog (Copper transport protein 86)	CTR86 YCR054C YCR54C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	563
P25356	P25356	reviewed	BPH1_YEAST	Beige protein homolog 1	BPH1 YCR032W YCR32W YCR591 YCR601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2167
P25357	P25357	reviewed	SNT1_YEAST	Probable DNA-binding protein SNT1 (SANT domain-containing protein 1)	SNT1 YCR033W YCR33W YCR592	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1226
P25358	P25358	reviewed	ELO2_YEAST	Fatty acid elongase 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELO2) (Elongation of fatty acids protein 2) (Fenpropimorph resistance protein 1) (Glucan synthesis protein 1) (Very-long-chain 3-oxoacyl-CoA synthase 2) (v-SNARE bypass mutant gene 2 protein)	ELO2 FEN1 GNS1 VBM2 YCR034W YCR34W YCR521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	347
P25359	P25359	reviewed	RRP43_YEAST	Exosome complex component RRP43 (Ribosomal RNA-processing protein 43)	RRP43 YCR035C YCR35C YCR522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394
P25360	P25360	reviewed	PHO87_YEAST	Inorganic phosphate transporter PHO87	PHO87 YCR037C YCR37C YCR524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	923
P25361	P25361	reviewed	YCT3_YEAST	Uncharacterized protein YCR043C	YCR043C YCR43C YCR725	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127
P25364	P25364	reviewed	HCM1_YEAST	Forkhead transcription factor HCM1 (High-copy suppressor of calmodulin protein 1)	HCM1 YCR065W YCR65W YCR902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	564
P25365	P25365	reviewed	SED4_YEAST	Putative guanine nucleotide-exchange factor SED4	SED4 YCR067C YCR67C YCR901	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1065
P25366	P25366	reviewed	OCA4_YEAST	Protein OCA4 (Oxidant-induced cell-cycle arrest protein 4)	OCA4 YCR095C YCR131 YCR95C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	362
P25367	P25367	reviewed	RNQ1_YEAST	[PIN+] prion protein RNQ1 (Rich in asparagine and glutamine protein 1)	RNQ1 YCL028W YCL181 YCL28W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	405
P25368	P25368	reviewed	RRP7_YEAST	Ribosomal RNA-processing protein 7	RRP7 YCL031C YCL184 YCL31C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	297
P25369	P25369	reviewed	LSB5_YEAST	LAS seventeen-binding protein 5 (LAS17-binding protein 5)	LSB5 YCL034W YCL186 YCL34W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	354
P25371	P25371	reviewed	ADP1_YEAST	Probable ATP-dependent permease	ADP1 YCR011C YCR105 YCR11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1049
P25372	P25372	reviewed	TRX3_YEAST	Thioredoxin-3, mitochondrial	TRX3 YCR083W YCR83W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127
P25373	P25373	reviewed	GLRX1_YEAST	Glutaredoxin-1 (EC 1.11.1.9) (EC 2.5.1.18) (Glutathione-dependent oxidoreductase 1)	GRX1 YCL035C YCL35C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110
P25374	P25374	reviewed	NFS1_YEAST	Cysteine desulfurase, mitochondrial (EC 2.8.1.7) (tRNA-splicing protein SPL1)	NFS1 SPL1 YCL017C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497
P25375	P25375	reviewed	PRTD_YEAST	Saccharolysin (EC 3.4.24.37) (Oligopeptidase YSCD) (Protease D) (Proteinase yscD)	PRD1 YCL057W YCL57W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	712
P25376	P25376	reviewed	AGP1_YEAST	General amino acid permease AGP1 (Asparagine/glutamine permease)	AGP1 YCL025C YCL25C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	633
P25378	P25378	reviewed	RHEB_YEAST	GTP-binding protein RHB1 (EC 3.6.5.-) (GTP-binding protein RSG1)	RHB1 RSG1 YCR027C YCR27C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	209
P25379	P25379	reviewed	STDH_YEAST	Catabolic L-serine/threonine dehydratase [Includes: L-serine dehydratase (EC 4.3.1.17) (L-serine deaminase); L-threonine dehydratase (EC 4.3.1.19) (L-threonine deaminase)]	CHA1 YCL064C YCL64C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360
P25382	P25382	reviewed	NLE1_YEAST	Ribosome assembly protein 4 (Notchless protein homolog 1) (Ribosome biogenesis factor RSA4)	RSA4 YCR072C YCR72C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	515
P25385	P25385	reviewed	BOS1_YEAST	Protein transport protein BOS1 (Bet one suppressor 1)	BOS1 YLR078C L9449.9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
P25386	P25386	reviewed	USO1_YEAST	Intracellular protein transport protein USO1 (Int-1)	USO1 INT1 YDL058W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1790
P25389	P25389	reviewed	KCC4_YEAST	Probable serine/threonine-protein kinase KCC4 (EC 2.7.11.1)	KCC4 YCL024W YCL24W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1037
P25398	P25398	reviewed	RS12_HUMAN	Small ribosomal subunit protein eS12 (40S ribosomal protein S12)	RPS12	Homo sapiens (Human)	132
P25437	P25437	reviewed	FRMA_ECOLI	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)	frmA adhC b0356 JW0347	Escherichia coli (strain K12)	369
P25440	P25440	reviewed	BRD2_HUMAN	Bromodomain-containing protein 2 (O27.1.1)	BRD2 KIAA9001 RING3	Homo sapiens (Human)	801
P25441	P25441	reviewed	RPC4_YEAST	DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (C53) (DNA-directed RNA polymerase III 47 kDa polypeptide)	RPC53 RPC4 YDL150W D1557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	422
P25443	P25443	reviewed	RS2_YEAST	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (Omnipotent suppressor protein SUP44) (RP12) (S4) (YS5)	RPS2 RPS4 SUP38 SUP44 YGL123W G2893	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254
P25445	P25445	reviewed	TNR6_HUMAN	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	FAS APT1 FAS1 TNFRSF6	Homo sapiens (Human)	335
P25451	P25451	reviewed	PSB3_YEAST	Proteasome subunit beta type-3 (Macropain subunit PUP3) (Multicatalytic endopeptidase complex subunit PUP3) (Proteasome component PUP3)	PUP3 YER094C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	205
P25454	P25454	reviewed	RAD51_YEAST	DNA repair protein RAD51	RAD51 YER095W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	400
P25490	P25490	reviewed	TYY1_HUMAN	Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1)	YY1 INO80S	Homo sapiens (Human)	414
P25491	P25491	reviewed	MAS5_YEAST	Mitochondrial protein import protein MAS5 (Yeast dnaJ protein 1)	YDJ1 MAS5 YNL064C N2418 YNL2418C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	409
P25502	P25502	reviewed	PUT3_YEAST	Proline utilization trans-activator	PUT3 YKL015W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	979
P25515	P25515	reviewed	VATL1_YEAST	V-type proton ATPase subunit c (V-ATPase subunit c) (Guanine nucleotide exchange factor 2) (V-ATPase 16 kDa proteolipid subunit 1) (Vacuolar proton pump c subunit)	VMA3 CLS7 CUP5 GEF2 YEL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160
P25516	P25516	reviewed	ACNA_ECOLI	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	acnA acn b1276 JW1268	Escherichia coli (strain K12)	891
P25519	P25519	reviewed	HFLX_ECOLI	GTPase HflX (GTP-binding protein HflX)	hflX b4173 JW4131	Escherichia coli (strain K12)	426
P25522	P25522	reviewed	MNME_ECOLI	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE thdF trmE b3706 JW3684	Escherichia coli (strain K12)	454
P25526	P25526	reviewed	GABD_ECOLI	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79) (Glutarate-semialdehyde dehydrogenase) (EC 1.2.1.-)	gabD b2661 JW2636	Escherichia coli (strain K12)	482
P25536	P25536	reviewed	NTPPA_ECOLI	dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase)	yhdE b3248 JW3217	Escherichia coli (strain K12)	197
P25539	P25539	reviewed	RIBD_ECOLI	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ribD ribG ybaE b0414 JW0404	Escherichia coli (strain K12)	367
P25552	P25552	reviewed	GPPA_ECOLI	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) (Guanosine pentaphosphate phosphohydrolase) (pppGpp-5'-phosphohydrolase)	gppA gpp b3779 JW5603	Escherichia coli (strain K12)	494
P25553	P25553	reviewed	ALDA_ECOLI	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)	aldA ald b1415 JW1412	Escherichia coli (strain K12)	479
P25554	P25554	reviewed	SGF29_YEAST	SAGA complex subunit SGF29 (29 kDa SAGA-associated factor) (SAGA histone acetyltransferase complex 29 kDa subunit) (SAGA-associated factor 29)	SGF29 YCL010C YCL10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	259
P25555	P25555	reviewed	GBP2_YEAST	Serine/arginine (SR)-type shuttling mRNA binding protein GBP2 (Polyadenylate-binding protein GBP2) (RAP1 localization factor 6) (Single-strand telomeric DNA-binding protein GBP2) (G-strand-binding protein 2)	GBP2 RLF6 YCL011C YCL11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	427
P25558	P25558	reviewed	BUD3_YEAST	Bud site selection protein 3	BUD3 YCL014W YCL012W YCL013W YCL12W YCL13W YCL14W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1636
P25559	P25559	reviewed	DCC1_YEAST	Sister chromatid cohesion protein DCC1 (Defective in sister chromatid cohesion protein 1)	DCC1 YCL016C YCL16C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	380
P25560	P25560	reviewed	RER1_YEAST	Protein RER1 (Retention of ER proteins 1)	RER1 YCL001W YCL1W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	188
P25566	P25566	reviewed	MXR2_YEAST	Peptide methionine sulfoxide reductase 2 (EC 1.8.4.12)	MXR2 MSRB YCL033C YCL33C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	168
P25567	P25567	reviewed	SRO9_YEAST	RNA-binding protein SRO9 (Suppressor of RHO3 protein 9)	SRO9 YCL037C YCL37C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	434
P25568	P25568	reviewed	ATG22_YEAST	Autophagy-related protein 22	ATG22 AUT4 YCL038C YCL38C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	528
P25569	P25569	reviewed	GID7_YEAST	GID complex subunit 7 (Glucose-induced degradation protein 7)	GID7 MOH2 YCL039W YCL311 YCL39W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	745
P25572	P25572	reviewed	YCE2_YEAST	Putative uncharacterized protein YCL042W	YCL042W YCL42W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	119
P25573	P25573	reviewed	MGR1_YEAST	Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR1 (Mitochondrial genome-required protein 1)	MGR1 YCL044C YCL314 YCL44C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417
P25574	P25574	reviewed	EMC1_YEAST	ER membrane protein complex subunit 1	EMC1 YCL045C YCL315 YCL45C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	760
P25576	P25576	reviewed	POF1_YEAST	Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMNAT) (EC 2.7.7.1) (NMN-specific adenylyltransferase) (Promoter of filamentation protein 1)	POF1 YCL047C YCL47C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	258
P25578	P25578	reviewed	PGPS1_YEAST	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase)	PGS1 PEL1 YCL004W YCL003W YCL3W YCL4W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	521
P25579	P25579	reviewed	LRE1_YEAST	Laminarase-resistance protein LRE1	LRE1 YCL051W YCL51W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	583
P25580	P25580	reviewed	PBN1_YEAST	Protein PBN1 (Protease B non-derepressible protein 1)	PBN1 YCL052C YCL52C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	416
P25582	P25582	reviewed	SPB1_YEAST	27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase (EC 2.1.1.167) (2'-O-ribose RNA methyltransferase SPB1) (AdoMet-dependent rRNA methyltransferase SPB1) (S-adenosyl-L-methionine-dependent methyltransferase) (Suppressor of PAB1 protein 1)	SPB1 YCL054W YCL431 YCL54W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	841
P25586	P25586	reviewed	KRR1_YEAST	KRR1 small subunit processome component (KRR-R motif-containing protein 1) (Ribosomal RNA assembly protein KRR1)	KRR1 YCL059C YCL59C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	316
P25587	P25587	reviewed	LDB16_YEAST	Protein LDB16 (Low dye-binding protein 16)	LDB16 YCL005W YCL5W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	256
P25588	P25588	reviewed	MRC1_YEAST	Mediator of replication checkpoint protein 1 (DNA replication checkpoint mediator MRC1)	MRC1 YCL061C YCL61C/YCL60C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1096
P25591	P25591	reviewed	VAC17_YEAST	vacuole-related protein 17 (Vacuole-specific MYO2 receptor VAC17)	VAC17 YCL063W YCL63W/YCL62W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423
P25604	P25604	reviewed	STP22_YEAST	Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23)	STP22 VPS23 YCL008C YCL8C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
P25605	P25605	reviewed	ILV6_YEAST	Acetolactate synthase small subunit, mitochondrial (Acetohydroxy-acid synthase small subunit) (AHAS) (ALS)	ILV6 YCL009C YCL9C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309
P25611	P25611	reviewed	RDS1_YEAST	Regulator of drug sensitivity 1	RDS1 YCR106W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	832
P25613	P25613	reviewed	ADY2_YEAST	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	ADY2 ATO1 YCR010C YCR10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	283
P25616	P25616	reviewed	CTO1_YEAST	Cold tolerance protein 1	CTO1 YCR015C YCR15C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	317
P25617	P25617	reviewed	YCQ6_YEAST	Uncharacterized protein YCR016W	YCR016W YCR16W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290
P25618	P25618	reviewed	CWH43_YEAST	Protein CWH43 (Calcofluor white hypersensitive protein)	CWH43 YCR017C YCR17C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	953
P25619	P25619	reviewed	HSP30_YEAST	30 kDa heat shock protein	HSP30 YCR021C YCR21C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
P25623	P25623	reviewed	SYP1_YEAST	Suppressor of yeast profilin deletion	SYP1 YCR030C YCR30C/YCR29C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	870
P25625	P25625	reviewed	PER1_YEAST	Protein PER1 (Protein processing in the ER protein 1)	PER1 COS16 YCR044C YCR44C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	357
P25626	P25626	reviewed	IMG1_YEAST	Large ribosomal subunit protein bL19m (54S ribosomal protein IMG1, mitochondrial) (Integrity of mitochondrial genome protein 1) (PetCR46)	IMG1 PETCR46 YCR046C YCR46C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	169
P25627	P25627	reviewed	BUD23_YEAST	18S rRNA (guanine(1575)-N(7))-methyltransferase (EC 2.1.1.309) (Bud site selection protein 23)	BUD23 YCR047C YCR47C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	275
P25628	P25628	reviewed	ARE1_YEAST	Sterol O-acyltransferase 1 (EC 2.3.1.-) (Sterol-ester synthase 1)	ARE1 SAT2 YCR048W YCR48W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	610
P25631	P25631	reviewed	YCU1_YEAST	Ankyrin repeat-containing protein YCR051W	YCR051W YCR51W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	222
P25632	P25632	reviewed	RSC6_YEAST	Chromatin structure-remodeling complex protein RSC6 (Remodel the structure of chromatin complex subunit 6)	RSC6 YCR052W YCR52W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	483
P25635	P25635	reviewed	PWP2_YEAST	Periodic tryptophan protein 2 (U three protein 1) (U3 small nucleolar RNA-associated protein 1) (U3 snoRNA-associated protein 1)	PWP2 UTP1 YCR057C YCR55C/YCR57C/YCR58C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	923
P25637	P25637	reviewed	YIH1_YEAST	Protein IMPACT homolog	YIH1 YCR059C YCR59C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	258
P25638	P25638	reviewed	TAH1_YEAST	TPR repeat-containing protein associated with Hsp90	TAH1 YCR060W YCR60W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111
P25639	P25639	reviewed	YCV1_YEAST	Uncharacterized membrane protein YCR061W	YCR061W YCR062W YCR61W YCR62W YCR904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	631
P25641	P25641	reviewed	ATG15_YEAST	Putative lipase ATG15 (EC 3.1.1.3) (Autophagy-related protein 15) (Cytoplasm to vacuole targeting protein 17)	ATG15 AUT5 CVT17 YCR068W YCR68W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	520
P25642	P25642	reviewed	IMG2_YEAST	Large ribosomal subunit protein mL49 (54S ribosomal protein IMG2, mitochondrial) (Integrity of mitochondrial genome protein 2)	IMG2 YCR071C YCR71C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146
P25644	P25644	reviewed	PAT1_YEAST	Deadenylation-dependent mRNA-decapping factor PAT1 (DNA topoisomerase 2-associated protein PAT1) (Decapping activator and translational repressor PAT1) (Topoisomerase II-associated protein PAT1) (mRNA turnover protein 1)	PAT1 MRT1 YCR077C YCR77C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796
P25648	P25648	reviewed	SRB8_YEAST	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (Suppressor of RNA polymerase B 8)	SRB8 GIG1 MED12 NUT6 SSN5 YCR081W YCR81W/YCR80W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1427
P25651	P25651	reviewed	CSM1_YEAST	Monopolin complex subunit CSM1 (Chromosome segregation in meiosis protein 1)	CSM1 SPO86 YCR086W YCR86W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	190
P25654	P25654	reviewed	YCY0_YEAST	UPF0587 protein YCR090C	YCR090C YCR1104 YCR90C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	182
P25655	P25655	reviewed	NOT1_YEAST	General negative regulator of transcription subunit 1 (Cell division cycle protein 39)	CDC39 NOT1 ROS1 YCR093W YCR1151 YCR93W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2108
P25656	P25656	reviewed	CDC50_YEAST	Phospholipid-transporting ATPase accessory subunit CDC50 (Cell division control protein 50)	CDC50 SWA4 YCR094W YCR94W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	391
P25659	P25659	reviewed	FUB1_YEAST	Silencing boundary-establishment protein FUB1 (Function of boundary protein 1) (Proteasome inhibitor PI31-like protein FUB1)	FUB1 YCR076C YCR76C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250
P25665	P25665	reviewed	METE_ECOLI	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE b3829 JW3805	Escherichia coli (strain K12)	753
Q8IW41	Q8IW41	reviewed	MAPK5_HUMAN	MAP kinase-activated protein kinase 5 (MAPK-activated protein kinase 5) (MAPKAP kinase 5) (MAPKAP-K5) (MAPKAPK-5) (MK-5) (MK5) (EC 2.7.11.1) (p38-regulated/activated protein kinase) (PRAK)	MAPKAPK5 PRAK	Homo sapiens (Human)	473
